from,to,relationship
lk,500,1
lk,spd,2
uv,500,1
uv,cdu,2
nr,500,1
nr,cdu,2
sw,linke,1
sw,500,2
cs,500,1
cs,2
cl,501,1
cl,fdp,2
nr,501,1
nr,cdu,2
ks,501,1
ks,2
lm,501,1
lm,2
kd,501,1
kd,2
